,relationRT,relationOneTwo,relationBlueOne,relationBlueTwo,expRT,expButton,exp1,exp2,desire1RT,desire1,desire2RT,desire2,knowledge1RT,knowledge1,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionButton,attentionBulb1,attentionBulb2,id,language,age,gender,condition,totalRT,flat,intentionMean
19,25.583,2,2,9,13.881,1,7,1,4.393,8,3.399,2,7.641,6,4.537,1,15.023,2,15.498,0,0,1,605baba8fd1a498fb4991a30,Greek,20,Female,condition 1,3.618233333,FALSE,6.5
20,27.499,1,1,9,16.192,4,7,2,5.343,8,6.316,1,7.012,7,4.495,6,12.867,2,10.216,0,0,1,5d30882271b7880019d738e3,chinese,24,Female,condition 1,3.604483333,FALSE,6.5
21,18.494,3,9,3,8.856,8,8,6,2.994,6,3.194,7,3.732,8,10.198,7,9.978,2,20.707,1,0,0,6017f7a1f57edd3a256c4dc6,turkish,29,Male,condition 1,2.705366667,FALSE,8
22,17.922,1,1,9,8.7,1,7,7,2.731,7,1.388,7,3.377,3,3.156,1,8.829,2,7.717,0,0,1,5e25529eab132b7bb83842f1,Italian,NA,NA,condition 2,3.259066667,FALSE,8
23,16.135,3,1,9,11.567,7,4,5,3.678,4,2.412,8,4.296,5,4.15,4,12.497,1,13.721,1,0,1,5d3ceaaf33b8940016258df8,GREEK,37,Male,condition 2,3.498383333,FALSE,7
24,32.142,5,1,7,17.149,2,5,5,4.354,5,1.396,5,5.545,7,5.214,3,14.767,2,11.166,0,0,1,60bfdb3344120974b658e947,Polish,18,Male,condition 2,3.79035,FALSE,7
25,20.761,1,1,9,18.551,1,9,9,5.101,5,1.317,5,3.509,5,5.753,1,10.387,2,8.077,0,0,1,5e482f13410cd9000bc937bb,italian,38,NA,condition 1,3.137233333,FALSE,9
27,31.038,1,1,9,27.499,1,9,9,5.141,8,2.19,8,9.384,7,6.492,8,18.949,2,10.971,0,0,1,61363c2d5b47470921ffc2b4,NA,NA,NA,condition 1,4.736133333,FALSE,8.5
32,35.818,2,2,7,40.46,2,9,5,5.288,9,3.399,6,10.87,7,13.823,5,19.654,2,14.16,0,0,1,5e865702d6d24f0c4a0a65e6,NA,NA,NA,condition 1,4.765466667,FALSE,7.5
36,39.776,3,4,9,13.483,2,9,4,4.977,8,4.953,4,6.374,7,8.278,8,12.231,2,12.991,0,0,1,61070399ac471b0149882b18,Spanish,22,Female,condition 1,4.947133333,FALSE,7
39,22.201,5,1,9,15.316,1,9,1,7.482,9,3.365,1,5.534,5,5.955,6,12.682,1,8.943,0,0,1,5abb9bcff69e940001d9171e,Polish,21,Female,condition 1,3.034116667,FALSE,5
40,25.408,2,1,9,9.483,1,1,9,3.534,1,2.759,8,3.266,7,3.688,4,19.542,1,13.829,0,0,1,6055d85c9f415eb7addde3cc,NA,NA,NA,condition 2,2.687566667,FALSE,8
41,21.369,1,1,9,11.061,1,9,9,5.475,8,4.874,9,5.836,5,5.863,1,9.195,2,10.37,1,0,1,614dd8cab435eccd4eca7397,polish,20,Female,condition 2,3.057583333,FALSE,9
44,50.575,2,2,9,19.965,3,3,8,8.217,3,4.188,8,5.314,7,7.579,1,14.81,2,11.472,0,0,1,57262ce40e21cd0008ce5d22,Finnish,38,Female,condition 2,4.420383333,FALSE,8
46,32.382,7,3,8,16.801,3,8,3,5.119,7,6.94,3,6.253,7,9.211,2,22.908,2,15.682,0,0,1,613b2476c6be53d17850a9fe,NA,NA,NA,condition 1,3.781833333,FALSE,5
47,30.359,3,9,9,16.674,1,1,9,7.594,2,2.006,9,5.7,9,5.903,1,16.66,2,8.862,0,0,1,5fbade0c4594d6b7c7d96ca9,Hungarian,20,Male,condition 2,4.107383333,FALSE,9
48,33.227,4,4,4,79.723,1,9,1,6.696,9,6.814,1,6.944,7,9.334,6,27.452,2,24.59,0,0,1,5e8dbc03461391042ebdf67c,NA,NA,NA,condition 1,5.90565,FALSE,8.5
49,70.573,3,3,9,18.356,5,9,1,5.663,8,5.722,1,5.948,8,6.969,3,17.152,2,12.361,0,0,1,5eb0003d7bb1a903b6a49414,Greek,20,Male,condition 1,4.803916667,FALSE,7.5
50,21.601,1,1,9,13.66,1,3,5,3.641,5,5.218,5,4.255,8,4.35,3,13.455,2,6.735,0,0,1,60acf60e082bae228fd4ad17,Danish,24,Female,condition 2,2.79645,FALSE,8.5
51,40.706,1,1,9,24.21,1,1,9,9.471,2,5.871,8,9.121,6,7.686,1,28.302,4,13.898,0,0,0,5ea2d7ffa288a5046841a874,English,80,Male,condition 1,5.6311,FALSE,7.5
52,154.82,1,1,9,12.478,1,9,1,5.608,9,11.039,5,25.336,4,7.592,3,12.516,2,13.031,0,0,1,603022675bdba4e2b7161d5b,Portuguese,22,Male,condition 1,6.542583333,FALSE,8
54,37.586,7,5,9,19.346,2,5,6,3.732,5,2.641,5,4.37,5,6.136,4,16.529,2,11.015,0,0,1,5ff8b21dd2ca6f12bdaa5be8,portuguese,18,Male,condition 2,4.0788,FALSE,7
55,35.342,3,1,9,12.925,1,1,9,3.327,1,7.728,9,3.064,9,8.023,1,9.814,2,12.432,0,0,1,5c4130f08daebb0001d1a27b,French,23,Male,condition 2,2.952533333,FALSE,9
56,22.293,5,1,9,19.809,1,4,7,3.368,5,2.449,7,5.623,5,7.441,5,18.401,2,13.228,0,0,1,5e42da6c4a5ec517392ee0a1,NA,NA,NA,condition 2,2.97785,FALSE,7.5
57,12.854,2,2,9,6.623,2,2,8,5.575,4,3.385,8,3.413,7,3.831,2,8.32,2,9.016,0,0,1,60fe5f65bf40c582873fefc2,Dutch,23,Female,condition 2,2.612783333,FALSE,8.5
59,27.257,2,2,7,21.838,1,5,4,7.891,5,3.955,5,5.324,6,6.475,4,18.227,2,11.59,0,0,1,5da9eddb59f3710012836dae,Portuguese,22,Male,condition 1,3.708933333,FALSE,6
60,18.095,6,2,8,8.911,1,9,2,4.208,9,2.275,1,3.827,9,4.46,2,7.532,2,8.317,0,0,1,5ea96dffa01cad04cfea50c3,Swedish,34,Female,condition 1,2.51885,FALSE,7
62,19.983,9,9,9,14.27,1,9,2,6.422,9,4.392,2,6.107,9,4.955,7,7.355,2,11.77,0,0,1,60ba8efa64517d05f7020bff,Bulgarian,22,Female,condition 1,3.28015,FALSE,8.5
63,14.191,1,1,9,8.412,1,9,1,2.784,9,1.717,1,4.396,4,4.754,1,15.182,2,7.367,0,0,1,5d372d6330b7be00166f6bce,Spanish,26,Female,condition 1,2.71825,FALSE,9
