,relationRT,relationOrange,relationBlue,relationOrangeBlue,expRT,expOrange,expBlue,expBoth,intention1RT,intention1,intention2RT,intention2,desireRT,desire,knowledge1RT,knowledge1,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionOrange,attentionBlue,attentionBulb,id,language,age,gender,condition,totalRT,flat,intentionMean,relationBlueNorm,relationOrangeNorm,relationOrangeBlueNorm,max,expBlueNorm,expOrangeNorm,expBothNorm,expectationMax
134,60.977,5,5,9,45.405,6,5,8,17.528,8,5.548,7,8.981,9,13.349,7,12.121,3,21.005,2,49.594,0,0,1,611a2c1ca8f92b2b84567cf8,Afrikaans,45,Female,condition 1,9.3729,FALSE,7.5,0.263157895,0.263157895,0.473684211,19,0.263157895,0.315789474,0.421052632,19
135,43.706,9,8,7,14.83,9,9,9,9.899,8,9.079,8,13.301,9,2.45,8,9.469,6,50.369,2,28.686,1,1,1,6059c149e5ad673483a3c7ca,Xitsonga,32,Female,condition 2,9.392466667,FALSE,8,0.333333333,0.375,0.291666667,24,0.333333333,0.333333333,0.333333333,27
136,51.403,9,5,9,30.243,1,9,1,13.576,9,6.696,9,4.762,9,6.001,9,8.205,1,13.292,2,19.718,0,0,1,611f5fca1c852d6d56e5bf8d,Tshivenda,31,Male,condition 1,5.593133333,FALSE,9,0.217391304,0.391304348,0.391304348,23,0.818181818,0.090909091,0.090909091,11
137,44.114,7,3,7,38.759,4,9,4,18.716,5,19.51,4,12.626,9,11.403,7,22.827,6,22.664,2,11.317,0,0,1,6148b0a10180b9144bdb6bd7,Arabic,27,Female,condition 1,11.2745,FALSE,4.5,0.176470588,0.411764706,0.411764706,17,0.529411765,0.235294118,0.235294118,17
138,12.628,7,1,7,10.909,7,7,7,6.326,9,3.368,9,3.475,9,4.117,8,3.365,1,7.218,2,8.173,0,0,1,5b8011a80a67ca0001cc3f9b,English,NA,NA,condition 1,2.598416667,FALSE,9,0.066666667,0.466666667,0.466666667,15,0.333333333,0.333333333,0.333333333,21
139,40.893,7,1,9,23.434,3,7,9,12.364,9,7.121,9,10.746,7,6.558,5,7.983,1,17.87,2,19.033,0,0,1,609aee217cd40cf561d141d1,Italian,25,Female,condition 2,13.16403333,FALSE,9,0.058823529,0.411764706,0.529411765,17,0.368421053,0.157894737,0.473684211,19
140,65.658,4,3,9,31.147,3,9,4,7.652,9,6.564,8,9.127,9,9.599,6,7.756,6,33.295,2,33.291,0,0,1,608fc44017ca76ade5fd7128,IsiZulu,33,Male,condition 1,7.802316667,FALSE,8.5,0.1875,0.25,0.5625,16,0.5625,0.1875,0.25,16
141,81.9,1,1,9,29.058,1,1,9,8.167,7,26.45,8,11.439,9,14.514,8,5.347,3,56.651,2,60.586,1,1,1,615c1741d4630b25e6bc1cb9,English,24,Female,condition 1,10.34816667,FALSE,7.5,0.090909091,0.090909091,0.818181818,11,0.090909091,0.090909091,0.818181818,11
142,42.49,9,1,5,29.986,5,5,5,11.114,9,6.915,9,14.4,9,10.272,7,8.588,5,46.654,2,20.204,0,0,1,5f19a19756b453000a79f83b,Chichewa,48,Male,condition 1,7.253266667,FALSE,9,0.066666667,0.6,0.333333333,15,0.333333333,0.333333333,0.333333333,15
143,63.293,3,8,6,36.119,8,7,4,14.206,7,7.161,8,9.906,7,9.464,5,19.712,4,23.791,2,76.408,0,0,1,613506271ba175e369f9cefe,English,28,Female,condition 2,10.91535,FALSE,7.5,0.470588235,0.176470588,0.352941176,17,0.368421053,0.421052632,0.210526316,19
