,relation1RT,relation1Orange,relation1Blue,relation1OrangeBlue,relation2RT,relation2Orange,relation2Blue,relation2OrangeBlue,relation3RT,relation3Orange,relation3Blue,relation3OrangeBlue,relation4RT,relation4Orange,relation4Blue,relation4OrangeBlue,relation5RT,relation5Orange,relation5Blue,relation5OrangeBlue,expRT,expOrange,expBlue,expBoth,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionOrange,attentionBlue,attentionBulb,id,language,age,gender,condition,totalRT,flat,intentionMean,relation1BlueNorm,relation1OrangeNorm,relation1OrangeBlueNorm,max,relation2BlueNorm,relation2OrangeNorm,relation2OrangeBlueNorm,relation3BlueNorm,relation3OrangeNorm,relation3OrangeBlueNorm,relation4BlueNorm,relation4OrangeNorm,relation4OrangeBlueNorm,relation5BlueNorm,relation5OrangeNorm,relation5OrangeBlueNorm
111,12.02,4,4,9,12.297,2,7,4,5.532,6,2,1,6.28,8,2,1,6.964,9,9,9,12.448,3,6,8,4.191,1,10.306,2,7.892,0,0,1,5f18862cd42a5807dc279034,Portuguese,23,Male,condition 1,5.2833,FALSE,7,0.235294118,0.235294118,0.529411765,27,0.538461538,0.153846154,0.307692308,0.222222222,0.666666667,0.111111111,0.181818182,0.727272727,0.090909091,0.333333333,0.333333333,0.333333333
112,71.647,1,5,2,25.559,1,7,1,25.634,1,1,1,25.12,6,1,5,24.899,9,1,5,33.26,2,7,2,10.856,6,20.242,2,18.944,0,0,1,60633a950aeb96e90172a92b,Portuguese,51,Female,condition 1,10.86975,FALSE,9,0.625,0.125,0.25,15,0.777777778,0.111111111,0.111111111,0.333333333,0.333333333,0.333333333,0.083333333,0.5,0.416666667,0.066666667,0.6,0.333333333
113,25.549,6,6,3,11.514,5,7,4,12.658,5,7,5,11.184,6,6,8,10.815,7,6,9,14.392,7,7,5,4.904,1,11.931,2,12.517,0,0,1,5ee10d5b0017d10ec8702d10,Polish,24,Female,condition 2,8.480733333,FALSE,8.5,0.4,0.4,0.2,22,0.4375,0.3125,0.25,0.411764706,0.294117647,0.294117647,0.3,0.3,0.4,0.272727273,0.318181818,0.409090909
114,23.793,3,7,6,10.89,3,8,5,10.314,5,4,8,12.989,6,4,8,10.893,6,6,9,18.379,3,9,3,8.887,5,11.149,2,15.605,0,0,1,5fe235442178d1da2544d3b0,Italian,21,Male,condition 1,5.874166667,FALSE,9,0.4375,0.1875,0.375,21,0.5,0.1875,0.3125,0.235294118,0.294117647,0.470588235,0.222222222,0.333333333,0.444444444,0.285714286,0.285714286,0.428571429
115,41.921,1,9,1,10.98,1,9,1,8.758,1,9,1,7.831,1,9,1,18.134,1,1,9,15.631,1,1,9,8.174,9,12.895,2,17.991,1,1,0,60b541217ae30e0573ba59be,english,56,Female,condition 2,7.4403,FALSE,9,0.818181818,0.090909091,0.090909091,11,0.818181818,0.090909091,0.090909091,0.818181818,0.090909091,0.090909091,0.818181818,0.090909091,0.090909091,0.090909091,0.090909091,0.818181818
116,38.393,2,8,1,17.796,3,7,1,10.892,3,7,1,11.922,5,5,3,12.715,1,1,9,27.399,6,6,5,7.848,1,13.408,2,19.559,0,0,1,5c73d1a39e3b0800018131b2,estonian,39,Male,condition 2,5.892833333,FALSE,7.5,0.727272727,0.181818182,0.090909091,11,0.636363636,0.272727273,0.090909091,0.636363636,0.272727273,0.090909091,0.384615385,0.384615385,0.230769231,0.090909091,0.090909091,0.818181818
117,31.68,9,9,9,41.94,5,9,5,22.661,5,9,5,16.758,7,9,7,20.326,9,1,1,16.634,9,9,9,5.318,1,14.818,2,24.975,0,0,1,615a028ae7c469f84dcd7fcd,Sepedi,23,Female,condition 1,7.683133333,FALSE,9,0.333333333,0.333333333,0.333333333,11,0.473684211,0.263157895,0.263157895,0.473684211,0.263157895,0.263157895,0.391304348,0.304347826,0.304347826,0.090909091,0.818181818,0.090909091
118,59.425,6,3,8,30.005,3,8,7,20.731,3,7,7,14.905,6,6,7,21.408,8,4,7,34.369,3,8,4,9.264,4,25.302,2,29.908,1,0,1,61535f0be88cfbeb7bc0bf04,Isixhosa,35,Female,condition 2,8.0611,FALSE,6.5,0.176470588,0.352941176,0.470588235,19,0.444444444,0.166666667,0.388888889,0.411764706,0.176470588,0.411764706,0.315789474,0.315789474,0.368421053,0.210526316,0.421052632,0.368421053
119,28.903,2,5,4,21.977,3,6,6,17.546,3,4,5,10.753,2,3,6,12.774,2,2,9,23.006,2,2,9,10.054,3,23.901,2,184.377,1,1,1,60cce61cc85b20f217065807,isizulu,28,Female,condition 2,10.76308333,FALSE,9,0.454545455,0.181818182,0.363636364,13,0.4,0.2,0.4,0.333333333,0.25,0.416666667,0.272727273,0.181818182,0.545454545,0.153846154,0.153846154,0.692307692
120,77.574,1,8,5,16.063,1,9,3,18.821,2,7,4,23.103,3,7,6,13.703,9,1,1,23.715,1,9,5,10.646,1,38.479,2,19.256,0,0,1,6130e10ce452cdc99435ef3d,English,25,Female,condition 1,9.28765,FALSE,5.5,0.571428571,0.071428571,0.357142857,11,0.692307692,0.076923077,0.230769231,0.538461538,0.153846154,0.307692308,0.4375,0.1875,0.375,0.090909091,0.818181818,0.090909091
